date,open,close,high,low,volume,money
2008-01-30,4505.64,4417.85,4554.34,4330.7,5508003700,92566887231
2008-01-31,4408.02,4383.39,4487.32,4368.3,4514155800,76189312077
2008-02-01,4388.25,4320.77,4411.7,4195.75,5930714200,96452528217
2008-02-04,4415.02,4672.17,4672.21,4415.02,6337457800,1.09E+11
2008-02-05,4622.54,4599.7,4662.97,4550.43,5261968400,93410147301
2008-02-13,4525.03,4490.72,4547.54,4454.64,3691415100,61549818305
2008-02-14,4527.05,4552.32,4576.98,4507.94,3491300500,57516976533
2008-02-15,4523.79,4497.13,4523.79,4431.46,4138651600,66980796498
2008-02-18,4546.75,4568.15,4601.22,4517.6,5582461000,92538618791
2008-02-19,4582.28,4664.3,4665.55,4544.94,6066318800,1.03E+11
2008-02-20,4682.59,4567.03,4695.8,4556.81,6647465300,1.15E+11
2008-02-21,4534.17,4527.18,4568.21,4452.68,6130914800,1.00E+11
2008-02-22,4500.39,4370.28,4500.39,4333.03,6760198300,1.10E+11
2008-02-25,4370.19,4192.53,4391.33,4182.77,5881193500,93047459906
2008-02-26,4302.73,4238.18,4331.64,4123.31,5568663100,89872770439
2008-02-27,4256.53,4334.05,4360.7,4222.46,5052499100,82967322680
2008-02-28,4343.28,4299.51,4344.93,4265.5,4792225300,75527784864
2008-02-29,4293.53,4348.54,4364.81,4275.9,4783538300,75515513719
2008-03-03,4323.7,4438.27,4456.96,4279.35,7851384000,1.25E+11
2008-03-04,4454.18,4335.45,4472.15,4321.27,8695651500,1.36E+11
2008-03-05,4316.25,4292.65,4352.82,4210.96,7410968000,1.14E+11
2008-03-06,4310.35,4360.99,4427.5,4260.79,8493214500,1.33E+11
2008-03-07,4315.81,4300.52,4341.3,4265.83,5674740200,92203521881
2008-03-10,4265.61,4146.3,4265.61,4120.53,6568220500,97355257730
2008-03-11,4121.65,4165.88,4165.91,4063.47,5133343900,79620807569
2008-03-12,4254.67,4070.12,4272.98,4068.78,5722445800,88663903677
2008-03-13,4033.32,3971.26,4055.45,3902.25,6365340000,96343796075
2008-03-14,3956.75,3962.67,4000.78,3891.7,4140725700,64286805135
